name,file,priority,style_guess,size_kib,width,height,bottom_white_ratio,top_white_ratio,edge_score,reasons
Agrest,Agrest.webp,high,card-template,56.5,512,512,0.695,0.936,61.62,widoczny szablon karty lub biala etykieta
Tuńczyk błękitnopłetwy,Tuńczyk błękitnopłetwy.webp,high,card-template,33.5,512,512,0.485,0.286,44.52,widoczny szablon karty lub biala etykieta
Makrela atlantycka,Makrela atlantycka.webp,high,card-template,32.7,512,512,0.500,0.285,43.61,widoczny szablon karty lub biala etykieta
Śledź wędzony,Śledź wędzony.webp,high,card-template,32.5,512,512,0.518,0.285,43.19,widoczny szablon karty lub biala etykieta
Mintaj atlantycki,Mintaj atlantycki.webp,high,card-template,32.5,512,512,0.507,0.284,43.25,widoczny szablon karty lub biala etykieta
Łosoś różowy,Łosoś różowy.webp,high,card-template,32.4,512,512,0.525,0.285,42.80,widoczny szablon karty lub biala etykieta
Winogrona amerykańskie,Winogrona amerykańskie.webp,high,card-template,32.2,512,512,0.475,0.277,43.79,widoczny szablon karty lub biala etykieta
Całe jajko suszone,Całe jajko suszone.webp,high,card-template,32.1,512,512,0.507,0.285,55.03,widoczny szablon karty lub biala etykieta
Witlinek,Witlinek.webp,high,card-template,31.4,512,512,0.542,0.285,41.69,widoczny szablon karty lub biala etykieta
Brzoskwinie suszone,Brzoskwinie suszone.webp,high,card-template,31.4,512,512,0.500,0.277,42.75,widoczny szablon karty lub biala etykieta
Żółtko solone,Żółtko solone.webp,high,card-template,31.3,512,512,0.527,0.283,54.15,widoczny szablon karty lub biala etykieta
Białko suszone,Białko suszone.webp,high,card-template,31.3,512,512,0.524,0.283,54.31,widoczny szablon karty lub biala etykieta
Łupacz,Łupacz.webp,high,card-template,31.2,512,512,0.552,0.285,41.41,widoczny szablon karty lub biala etykieta
Halibut,Halibut.webp,high,card-template,31.2,512,512,0.546,0.285,41.32,widoczny szablon karty lub biala etykieta
Żółtko słodzone,Żółtko słodzone.webp,high,card-template,31.2,512,512,0.518,0.283,54.76,widoczny szablon karty lub biala etykieta
Suszone śliwki,Suszone śliwki.webp,high,card-template,31.1,512,512,0.521,0.277,41.59,widoczny szablon karty lub biala etykieta
Białko jaja,Białko jaja.webp,high,card-template,31.0,512,512,0.537,0.283,53.66,widoczny szablon karty lub biala etykieta
Melon miodowy,Melon miodowy.webp,high,card-template,30.9,512,512,0.514,0.277,42.05,widoczny szablon karty lub biala etykieta
Porzeczka czarna,Porzeczka czarna.webp,high,card-template,30.9,512,512,0.515,0.277,42.21,widoczny szablon karty lub biala etykieta
Wiśnie słodkie,Wiśnie słodkie.webp,high,card-template,30.9,512,512,0.518,0.277,41.64,widoczny szablon karty lub biala etykieta
Całe jajko,Całe jajko.webp,high,card-template,30.8,512,512,0.537,0.284,53.70,widoczny szablon karty lub biala etykieta
Okoń,Okoń.webp,high,card-template,30.7,512,512,0.553,0.285,41.14,widoczny szablon karty lub biala etykieta
Dorsz,Dorsz.webp,high,card-template,30.5,512,512,0.553,0.286,41.22,widoczny szablon karty lub biala etykieta
Żółtko,Żółtko.webp,high,card-template,30.5,512,512,0.550,0.283,52.84,widoczny szablon karty lub biala etykieta
"Papryka (słodka, główna odmiana)","Papryka (słodka, główna odmiana).webp",high,card-template,30.1,512,512,0.447,0.281,43.21,widoczny szablon karty lub biala etykieta
Homar amerykański,Homar amerykański.webp,high,card-template,30.0,512,512,0.501,0.274,44.88,widoczny szablon karty lub biala etykieta
Przegrzebki,Przegrzebki.webp,high,card-template,29.1,512,512,0.531,0.273,43.40,widoczny szablon karty lub biala etykieta
Fasola szparagowa,Fasola szparagowa.webp,high,card-template,29.0,512,512,0.505,0.280,41.61,widoczny szablon karty lub biala etykieta
